cust_id,csa,equip_id,start_date,end_date,term,equip_desc,total_perks,created_at,updated_at
23,264F,54,12/11/2015,12/11/2016,1,FURNACE ONLY,54,05/22/2017,05/22/217
25,436A,59,,,,A/C,,05/22/2017,05/22/217
25,436F,60,,,,FURNACE,60,05/22/2017,05/22/217
32,504A,75,10/03/2016,10/03/2017,1,A/C,,05/22/2017,05/22/217
32,504O,76,10/03/2016,10/03/2017,1,OIL FURNACE,,05/22/2017,05/22/217
35,130A,82,01/15/2016,01/15/2017,1,A/C,,05/22/2017,05/22/217
35,130F,81,01/15/2016,01/15/2017,1,FURNACE,,05/22/2017,05/22/217
36,314A,85,02/24/2016,02/24/2017,1,A/C,,05/22/2017,05/22/217
36,314F,84,02/24/2016,02/24/2017,1,FURNACE,,05/22/2017,05/22/217
44,105A,125,01/13/2016,01/13/2017,1,A/C,,05/22/2017,05/22/217
44,105F,123,01/13/2016,01/13/2017,1,FURNACE,,05/22/2017,05/22/217
48,221A,134,09/17/2015,09/17/2016,1,A/C,,05/22/2017,05/22/217
48,221F,135,09/17/2015,09/17/2016,1,FURNACE,,05/22/2017,05/22/217
49,425A,138,10/22/2015,10/21/2017,2,A/C,,05/22/2017,05/22/217
49,425F,137,10/22/2015,10/21/2017,2,FURNACE,,05/22/2017,05/22/217
53,316A,148,11/25/2015,11/25/2016,1,A/C,,05/22/2017,05/22/217
53,316F,3109,11/25/2015,11/25/2016,1,FURNACE,,05/22/2017,05/22/217
57,410O,160,,,,,,05/22/2017,05/22/217
57,566O,160,,,,,,05/22/2017,05/22/217
57,567O,,,,,,,05/22/2017,05/22/217
122,404A,8255,12/07/2016,12/07/2017,1,A/C,,05/22/2017,05/22/217
122,404F,313,12/07/2016,12/07/2017,1,FURNACE,,05/22/2017,05/22/217
124,486,,,,,,,05/22/2017,05/22/217
155,165A,401,02/10/2016,02/10/2017,1,A/C,,05/22/2017,05/22/217
155,165F,402,02/10/2016,02/10/2017,1,FURNACE,,05/22/2017,05/22/217
172,423,,,,,,,05/22/2017,05/22/217
177,144A,449,10/16/2015,10/16/2016,1,A/C,,05/22/2017,05/22/217
177,144F,3611,10/16/2015,10/16/2016,1,FURNACE,,05/22/2017,05/22/217
192,175A,13211,10/19/2015,10/19/2016,1,A/C,,05/22/2017,05/22/217
192,175F,478,10/19/2015,10/19/2016,1,FURNACE,,05/22/2017,05/22/217
197,414A,490,01/29/2016,01/29/2017,1,A/C,1,05/22/2017,05/22/217
197,414O,488,01/29/2016,01/29/2017,1,OIL FURNACE,2,05/22/2017,05/22/217
200,392A,500,09/29/2016,09/29/2017,1,A/C,3,05/22/2017,05/22/217
200,392F,498,09/29/2016,09/29/2017,1,FURNACE,4,05/22/2017,05/22/217
212,507A,526,08/04/2015,08/04/2016,1,A/C,5,05/22/2017,05/22/217
212,507F,525,08/04/2015,08/04/2016,1,FURNACE,6,05/22/2017,05/22/217
229,413A,577,09/12/2016,09/12/2017,1,A/C,,05/22/2017,05/22/217
229,413F,575,09/12/2016,09/12/2017,1,FURNACE,,05/22/2017,05/22/217
239,298A,603,03/01/2016,03/01/2017,1,A/C,,05/22/2017,05/22/217
239,298F,601,03/01/2016,03/01/2017,1,FURNACE,,05/22/2017,05/22/217
262,205A,665,01/08/2016,01/08/2017,1,A/C,,05/22/2017,05/22/217
262,205F,664,01/08/2016,01/08/2017,1,FURNACE,,05/22/2017,05/22/217
265,317G,7001,09/28/2015,09/28/2016,1,FURNACE & AC,,05/22/2017,05/22/217
283,604F,,11/25/2015,11/25/2017,2,,,05/22/2017,05/22/217
299,321A,13260,03/04/2016,03/04/2017,1,A/C,,05/22/2017,05/22/217
299,321F,9885,03/04/2016,03/04/2017,1,FURNACE,,05/22/2017,05/22/217
334,219F,828,11/21/2014,11/21/2016,2,FURNACE,,05/22/2017,05/22/217
340,440A,14493,01/26/2017,01/26/2018,1,A/C,,05/22/2017,05/22/217
340,440F,842,01/26/2017,01/26/2018,1,FURNACE,,05/22/2017,05/22/217
345,117A,853,10/12/2015,10/12/2016,1,A/C,,05/22/2017,05/22/217
345,117O,855,10/12/2015,10/12/2016,1,OIL FURNACE,,05/22/2017,05/22/217
348,113A,9792,10/05/2015,10/05/2016,1,A/C,,05/22/2017,05/22/217
348,113F,863,10/05/2015,10/05/2016,1,FURNACE,,05/22/2017,05/22/217
355,262,,04/19/2016,04/19/2017,1,,,05/22/2017,05/22/217
384,397A,943,07/18/2016,07/18/2017,1,A/C,,05/22/2017,05/22/217
384,397F,941,07/18/2016,07/18/2017,1,FURNACE,,05/22/2017,05/22/217
386,571A,13466,01/13/2017,01/13/2018,1,A/C,,05/22/2017,05/22/217
386,571F,13465,01/13/2017,01/13/2018,1,FURNACE,,05/22/2017,05/22/217
387,518,,05/03/2016,05/03/2018,2,,,05/22/2017,05/22/217
392,383,,,,,,,05/22/2017,05/22/217
414,379A,1008,07/15/2016,07/15/2017,1,A/C,,05/22/2017,05/22/217
414,379F,1007,07/15/2016,07/15/2017,1,FURNACE,,05/22/2017,05/22/217
420,506A,1021,03/01/2016,03/01/2018,2,A/C,,05/22/2017,05/22/217
420,506F,10321,03/01/2016,03/01/2018,2,FURNACE,,05/22/2017,05/22/217
427,287A,3770,11/25/2014,11/25/2016,2,A/C,,05/22/2017,05/22/217
427,287F,1035,01/18/2016,11/25/2017,2,FURNACE,,05/22/2017,05/22/217
434,157A,1050,01/04/2016,01/04/2017,1,A/C,,05/22/2017,05/22/217
434,157F,1048,01/04/2016,01/04/2017,1,FURNACE,,05/22/2017,05/22/217
435,523A,1053,08/08/2016,08/08/2017,1,A/C,,05/22/2017,05/22/217
435,523F,1051,08/08/2016,08/08/2017,1,FURNACE,,05/22/2017,05/22/217
438,177A,1061,09/14/2015,09/14/2016,1,A/C,,05/22/2017,05/22/217
438,177F,1059,09/14/2015,09/14/2016,1,FURNACE,,05/22/2017,05/22/217
442,120F,1069,09/08/2015,09/08/2016,1,FURNACE,,05/22/2017,05/22/217
453,346A,1092,07/21/2015,07/21/2016,1,A/C,,05/22/2017,05/22/217
453,346F,1091,07/21/2015,07/21/2016,1,FURNACE,,05/22/2017,05/22/217
475,437A,11401,,,,,,05/22/2017,05/22/217
475,437F,1167,,,,,,05/22/2017,05/22/217
514,547A,1258,,,,,,05/22/2017,05/22/217
514,547F,1256,,,,,,05/22/2017,05/22/217
523,361H,11084,10/16/2015,10/16/2016,1,HEAT PUMP SYSTEM,,05/22/2017,05/22/217
527,265H,7398,12/07/2015,12/07/2016,1,HEAT PUMP SYSTEM,,05/22/2017,05/22/217
556,537A,9720,06/10/2015,06/10/2016,1,A/C,,05/22/2017,05/22/217
556,537F,16167,06/10/2015,06/10/2016,1,FURNACE,,05/22/2017,05/22/217
584,250F,1425,08/28/2015,08/28/2016,1,FURNACE ONLY,,05/22/2017,05/22/217
610,464,,,,,,,05/22/2017,05/22/217
628,630A,1533,08/02/2016,08/02/2017,1,A/C,,05/22/2017,05/22/217
