cust_id,equip_id,csa1,serial,model,manufacturer,product_type,date_installed,last_service_date,recommended_service,next_service_date,equipment_notes,warranty_policy,extended,warranty_length,warranty_type,expiration_date,warranty_notes,hide,created_at,updated_at
1238,0,,50452777G,TUY080R9V3W5,Trane,Gas Furnace,02/21/2005,10/25/2013,12,10/25/2014,,,1,10 Year,Parts & Labor,02/19/2015,,0,05/24/2017,05/24/2017
8,10,,,,Trane,Furnace,,10/08/2001,12,10/08/2002,"Serviced gas Furnace 10-8-01
Installed gas valve to eliminate on/off continuously of gas. 10-8-01",*EquipNotes,0,,,,,0,05/24/2017,05/24/2017
9,11,,0008127644,GUVA070BX40,Amana,Furnace,10/24/2001,10/24/2001,12,10/24/2002,"FIRST FLOOR EQUIPMENT
MFG # P1228303F
PIC # 1204010501",108517,1,10 Year,Parts & Labor,10/22/2011,,1,05/24/2017,05/24/2017
9,12,,9801174251,CCA30FDC,Amana,AC Coil,10/24/2001,10/24/2001,12,10/24/2002,"MFG # P1203910C
PIC #1205010000",108517,1,10 Year,Parts & Labor,10/24/2011,,0,05/24/2017,05/24/2017
9,13,,0106123040,RCC24A2D,Amana,Air Conditioner,10/24/2001,10/24/2001,12,10/24/2002,"MFG # P1218522C
PIC # 1203010502",108517,1,10 Year,Parts & Labor,10/24/2011,,0,05/24/2017,05/24/2017
9,14,,9909109288,GUVA070AX40,Amana,Furnace,10/24/2001,10/24/2001,12,10/24/2002,,,1,10 Year,Parts & Labor,10/24/2011,,0,05/24/2017,05/24/2017
9,17,,9908106000,CCH30FCD,Amana,AC Coil,10/24/2001,10/24/2001,12,10/24/2002,"This is a vertical coil.
MFG # P1210102C
PIC # 1205001000",,1,10 Year,Parts & Labor,10/24/2011,,0,05/24/2017,05/24/2017
9,18,,0106123040,RCC24A2D,Amana,Air Conditioner,10/24/2001,10/24/2001,12,10/24/2002,"MFG # P1218522C
PIC # 1203010502",,1,10 Year,Parts & Labor,10/24/2011,,0,05/24/2017,05/24/2017
9,19,,0,2400,Aprilaire,Air Cleaner,10/24/2001,10/24/2001,12,10/24/2002,,,0,,,,,0,05/24/2017,05/24/2017
9,20,,0,2400,Aprilaire,Air Cleaner,10/24/2001,10/24/2001,12,10/24/2002,,,0,,,,,0,05/24/2017,05/24/2017
11,24,,3459539445,TCU085A936B,Trane,Oil Furnace,07/25/1995,12/10/2014,12,12/10/2015,"Replaced heat exchanger 11/8/01.
Serviced Furnace 10-31-02",EquipNotes,0,,,,,0,05/24/2017,05/24/2017
12,26,,R464T2H1G,TDD060R936E0,Trane,Furnace,09/24/2001,01/31/2011,12,01/31/2012,,2066456,1,10 Year,Parts & Labor,09/22/2011,,0,05/24/2017,05/24/2017
11,27,,K2614WSFF,TTX024C100A1,Trane,Air Conditioner,07/25/1995,05/16/2011,24,05/16/2013,,,0,,,,,0,05/24/2017,05/24/2017
11,28,,K15725930,TXA025C4HPB0,Trane,AC Coil,07/25/1995,,0,,,,0,,,,,0,05/24/2017,05/24/2017
13,29,,9612132087,GUIS090CA30,Amana,Gas Furnace,10/04/2001,01/20/2017,12,01/20/2018,"MFG. # P1211004F
PIC # 1204010305",557678,1,10 Year,Parts & Labor,10/02/2011,,0,05/24/2017,05/24/2017
13,31,,0001207007,CCA30FDC,Amana,AC Coil,10/04/2001,10/04/2001,12,10/04/2002,"MFG # P1203910C
PIC # 120501000",557678,1,10 Year,Parts & Labor,10/04/2011,,0,05/24/2017,05/24/2017
13,33,,0107109606,RCB30B2D,Amana,Air Conditioner,10/04/2001,10/04/2001,12,10/04/2002,"MFG # P1223310C
PIC # 1203010303",557678,1,10 Year,Parts & Labor,10/04/2011,,0,05/24/2017,05/24/2017
13,34,,0,550,Aprilaire,Humidifier,10/04/2001,11/22/2011,12,11/22/2012,,,0,,,,,0,05/24/2017,05/24/2017
13,35,,,16x25,Honeywell,Air Filter,10/04/2001,02/06/2013,12,02/06/2014,16x25x4 Media,,0,,,,,0,05/24/2017,05/24/2017
14,36,,R4556PE7G,TUX080C942C2,Trane,Furnace,12/04/2001,12/04/2001,12,12/04/2002,,2093490,1,10 Year,Parts & Labor,12/02/2011,,0,05/24/2017,05/24/2017
14,39,,Z421PYE5L,TXCO31C4HPCO,Trane,AC Coil,12/04/2001,12/04/2001,12,12/04/2002,,2093490,1,10 Year,Parts & Labor,12/04/2011,,0,05/24/2017,05/24/2017
14,40,,Z333UKS3F,TTR030C1CCA4,Trane,Air Conditioner,12/04/2001,12/04/2001,12,12/04/2002,,,0,,,,,0,05/24/2017,05/24/2017
16,41,,Z302LJ2LV,TWE031E13FBO,Trane,Air Handler,11/20/2001,11/20/2001,12,11/20/2002,,2088132,1,10 Year,Parts & Labor,11/18/2011,,0,05/24/2017,05/24/2017
16,42,,Z2542X22F,TWX0Z4C100A4,Trane,Heat pump,11/20/2001,11/20/2001,12,11/20/2002,,2088132,1,10 Year,Parts & Labor,11/20/2011,,0,05/24/2017,05/24/2017
17,43,,Z344YLD7G,TUY120R9V5V3,Trane,Gas Furnace,12/07/2001,02/23/2016,12,02/23/2017,,2088131,1,10 Year,Parts & Labor,12/05/2011,,0,05/24/2017,05/24/2017
