call_id,equip_id,cust_id,serial,call_date,call_notes,created_at,updated_at
10,2791,1197,,03/18/2002,Serviced Heatpump system,06/04/17,06/04/17
11,1236,506,K414SJM7G,08/07/2003,"Service furnace, replaced air filter, replaced ignitor under warranty",06/04/17,06/04/17
12,3247,1090,,08/04/2003,Replaced heating element under manufacturers warranty,06/04/17,06/04/17
13,163,58,L4252OT7G,11/13/2002,Serviced  70.00,06/04/17,06/04/17
14,4070,1172,,09/11/2003,"Serviced Oil Furnace , Replace Nozzle and Filter.",06/04/17,06/04/17
15,4073,2014,,08/29/2003,Replaced Coil.,06/04/17,06/04/17
16,2962,1278,,10/31/2001,Serviced Gas Hot Water Furnace,06/04/17,06/04/17
17,2962,1278,,11/13/2002,Serviced Gas Hot Water Furnace. $70.00,06/04/17,06/04/17
18,2867,1225,,10/11/2001,Serviced Gas Furnace.,06/04/17,06/04/17
19,2867,1225,,11/13/2002,Serviced Gas Furnace.,06/04/17,06/04/17
20,2756,1164,,09/19/2001,Serviced Gas Furnance,06/04/17,06/04/17
21,2756,1164,,11/14/2002,"Serviced Gas Furnance. 
$70.00",06/04/17,06/04/17
22,4127,1164,,09/19/2001,Serviced Air Cleaner,06/04/17,06/04/17
23,4127,1164,,11/14/2002,Serviced Air Cleaner $35.00,06/04/17,06/04/17
24,4128,1164,,11/14/2002,Cleaned & Inspected Heat Exchanger $65.00,06/04/17,06/04/17
25,485,195,MO642RGFF,10/02/2002,Serviced AC Unit 10-2-02,06/04/17,06/04/17
26,1279,526,N312UC07G,11/13/2002,Serviced Furnace_ No Replaced inducer fan under warranty,06/04/17,06/04/17
29,4129,527,,11/14/2002,Serviced and replaced water panel $14.00,06/04/17,06/04/17
30,4131,608,,11/19/2001,Serviced Furnace,06/04/17,06/04/17
31,4132,608,,11/19/2002,Serviced Air Cleaner $25.00,06/04/17,06/04/17
32,4131,608,,11/19/2002,Serviced Furnace $70.00,06/04/17,06/04/17
33,2802,1202,,11/26/2003,"Service Furnace  $80.00
Duane",06/04/17,06/04/17
34,3005,1303,,11/26/2003,"Service Furnace  $80.00
Duane",06/04/17,06/04/17
35,2868,1227,E08677480,11/25/2003,"Service Furnace  $80.00
Flame Sensor  $45.00
Duane",06/04/17,06/04/17
36,3684,1833,,12/02/2003,"Service Furnace  $80.00
Flame Sensor       $ 6.00
EAC                     $45.00
Humidifier             $ 5.00
Total                  $136.00",06/04/17,06/04/17
37,3686,1833,,05/31/2005,"Waterpanel $15.00
Bob",06/04/17,06/04/17
42,5025,2321,,11/13/2002,"Service Furnace  $70.00
Scott",06/04/17,06/04/17
43,5026,2321,,11/13/2002,"Waterpanel  $15.00
Scott",06/04/17,06/04/17
44,5027,2322,,11/19/2002,"Service Furnace  $50.00
Replace Ignitor    $45.00
Steve",06/04/17,06/04/17
46,5029,2317,,11/14/2002,"Replace Filter  $40.00
Steve",06/04/17,06/04/17
47,5030,2324,,11/14/2002,"Service Furnace  $100.00
Scott",06/04/17,06/04/17
48,1520,624,C2755646,11/14/2002,"Service Furnace  $70.00
Replace Ignitor    $25.00
Scott",06/04/17,06/04/17
52,2984,1293,,11/18/2002,"Service Furnace  $70.00
Sean",06/04/17,06/04/17
53,2239,892,K03KUJ7G1,11/19/2002,"Service Furnance $70.00
Sean",06/04/17,06/04/17
55,5032,892,,11/19/2002,"Replace Filter  $40.00
Sean",06/04/17,06/04/17
56,5033,2325,,11/13/2002,Waterpanel  $12.00,06/04/17,06/04/17
57,2340,927,J49514607,11/18/2002,"Service Furnace $70.00
Sean",06/04/17,06/04/17
58,2341,927,,11/18/2002,"Replace Filter  $40.00
Sean",06/04/17,06/04/17
59,5034,927,,11/18/2002,"Service Humidifier  $25.00
Replace Waterpanel  $11.00
Sean",06/04/17,06/04/17
60,2922,1249,,11/19/2002,"Service Furnace  $70.00
Sean",06/04/17,06/04/17
62,5036,2326,,11/14/2002,"Replace light  $8.00
Scott",06/04/17,06/04/17
63,5037,2327,,11/19/2002,"Service Furnace  $50.00
Paul",06/04/17,06/04/17
64,5038,657,,11/14/2002,"Service Furnace  $70.00
Paul & Dave",06/04/17,06/04/17
65,3191,1475,,10/21/2002,Service Furnace  $70.00,06/04/17,06/04/17
66,3003,1301,AN172M369700378,11/20/2002,"Service Furnace  $80.00
Oil filter & Nozzle  $15.00
Sean",06/04/17,06/04/17
67,4553,1301,0,11/20/2002,"Waterpanel  $13.00
Sean",06/04/17,06/04/17
68,5040,2328,,11/20/2002,"Service Furnace  $85.00
Steve",06/04/17,06/04/17
69,5041,2329,,11/15/2011,"Service Furnace  $70.00
Sean",06/04/17,06/04/17
70,5042,2329,,11/20/2002,"Waterpanel  $13.00
Sean",06/04/17,06/04/17
71,4195,2065,L983319499,11/20/2002,"Service Furnace  $70.00
Sean",06/04/17,06/04/17
72,5043,2330,,11/20/2002,"Service Boiler  $70.00
Sean",06/04/17,06/04/17
73,2999,1297,,12/02/2002,"Service Furnace  $70.00
Scott",06/04/17,06/04/17
74,5045,2332,,11/27/2002,"Service Furnace  $70.00
Sean",06/04/17,06/04/17
75,2868,1227,E08677480,12/02/2002,"Service Furnace  $70.00
Replace switch  $15.00
Scott",06/04/17,06/04/17
76,2869,1227,,12/02/2002,"Replace Filter  $40.00
Scott",06/04/17,06/04/17
77,4619,1227,0,12/02/2002,"Waterpanel  $15.00
Service Humidifier  $10.00
Scott",06/04/17,06/04/17
78,5046,2333,,11/29/2002,"Service Furnace  $95.00
Paul",06/04/17,06/04/17
80,3955,1266,0,12/02/2002,"Replace filter  $35.00
Scott",06/04/17,06/04/17
81,5047,2334,,11/07/2002,"Service Furnace  $95.00
Replaced Ignitor  $35.00
Replaced Main Burners  $69.00
Steve",06/04/17,06/04/17
82,5048,2335,,11/26/2002,"Service Furnace  $85.00
Scott",06/04/17,06/04/17
83,5049,2336,,12/01/2002,"Service Boiler  $105.00
Paul",06/04/17,06/04/17
84,5050,2337,,12/01/2002,"Service Boiler  $105.00
Replace 4"" Flue Pipe & repaired spark ignition wire  $20.00
Paul",06/04/17,06/04/17
85,5051,2338,,11/27/2002,"Service Furnace  $65.00
Scott",06/04/17,06/04/17
86,5052,2339,,11/27/2002,"Service Furnace  $70.00
Sean",06/04/17,06/04/17
87,5053,1478,,12/02/2002,"Service Furnace  $80.00
Oil filter & Nozzle  $15.00
Replaced primary oil burner control  $65.75
Paul",06/04/17,06/04/17
88,2129,843,X32588945,11/27/2002,"Service Furnace  $70.00
Replace Mercury Switch  $25.00
Sean",06/04/17,06/04/17
89,4316,70,,12/03/2002,"Replaced Filter  $40.00
Paul",06/04/17,06/04/17
