equip_id,cust_id,warranty_notes,created_at,updated_at
144,52,Agreement #1082210,05/27/17,05/27/17
539,219,Heat Exchanger has 20 Year 2-27-02,05/27/17,05/27/17
1394,574,10 YR Compressor Warranty,05/27/17,05/27/17
2576,1030,"5 year parts and indoor coil.
10 year compressor and outdoor coil.",05/27/17,05/27/17
3712,1840,#2205403,05/27/17,05/27/17
5891,1853,"Contract Number:  WMX2474
CP Number:  CP4833124",05/27/17,05/27/17
5989,309,"Parts 5 year
Compressor and coil 10 year",05/27/17,05/27/17
8104,3707,10 yr compressor warranty,05/27/17,05/27/17
8516,3861,Lifetime Heat Exchanger,05/27/17,05/27/17
8745,3988,10 yr compressor warranty,05/27/17,05/27/17
8800,4004,Lifetime heat exchanger warranty,05/27/17,05/27/17
8802,4004,10 yr compressor warranty,05/27/17,05/27/17
8805,3985,10 yr compressor warranty,05/27/17,05/27/17
8807,4005,Lifetime heat exchanger warranty,05/27/17,05/27/17
8808,4005,10 yr compressor warranty,05/27/17,05/27/17
8815,3060,10 yr compressor warranty,05/27/17,05/27/17
8816,3060,Lifetime Heat Exchanger warranty,05/27/17,05/27/17
8820,3907,10 yr compressor warranty,05/27/17,05/27/17
8831,1892,10 yr compressor warranty,05/27/17,05/27/17
8836,1389,Lifetime heat exchanger warranty,05/27/17,05/27/17
8842,57,10 yr. compressor warranty,05/27/17,05/27/17
8848,3540,10 yr compressor warranty,05/27/17,05/27/17
8860,4016,Lifetime heat exchanger warranty,05/27/17,05/27/17
8861,4016,Lifetime compressor warranty,05/27/17,05/27/17
8869,4020,Lifetime heat exchanger warranty,05/27/17,05/27/17
8903,4030,10 yr compressor warranty,05/27/17,05/27/17
8904,4030,Lifetime heat exchanger warranty,05/27/17,05/27/17
8911,4031,10 yr compressor warranty,05/27/17,05/27/17
8913,4031,Lifetime heat exchanger warranty,05/27/17,05/27/17
8921,3417,Lifetime compressor warranty,05/27/17,05/27/17
8960,2320,10 yr compressor warranty,05/27/17,05/27/17
8968,1196,Lifetime heat exchanger warranty,05/27/17,05/27/17
8969,1196,10 yr compressor warranty,05/27/17,05/27/17
8980,4060,10 yr compressor warranty,05/27/17,05/27/17
8982,591,10 yr compressor warranty,05/27/17,05/27/17
8986,2463,10 yr compressor warranty,05/27/17,05/27/17
9009,2829,Lifetime heat exchanger warranty,05/27/17,05/27/17
9010,2829,10 yr compressor warranty,05/27/17,05/27/17
9016,4074,10 yr compressor warranty,05/27/17,05/27/17
9018,1616,10 yr compressor warranty,05/27/17,05/27/17
9020,3917,Lifetime heat exchanger warranty,05/27/17,05/27/17
9021,4075,Lifetime heat exchanger warranty,05/27/17,05/27/17
9023,4075,10 yr compressor warranty,05/27/17,05/27/17
